observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(-8, -16, -4)","(-2, -3, -1)","(-6, -13, -3)",4,10,2,8,3,False,38,60,22,0,[],0,0,0,0,0,32
"(4, 9, 5)","(0, 0, 0)","(4, 9, 5)",0,10,0,10,3,False,60,46,-14,0,[],0,0,0,0,0,33
"(-5, -10, -6)","(-12, -18, -6)","(7, 8, 0)",-1,7,6,1,1,False,46,55,9,0,[],0,0,0,0,0,34
"(7, 13, 3)","(2, 3, 1)","(5, 10, 2)",-3,7,1,6,4,False,55,46,-9,0,[],0,0,0,0,0,35
"(24, 38, 14)","(21, 32, 11)","(3, 6, 3)",0,21,12,9,6,False,46,1,-45,0,[],0,0,0,0,0,36
"(3, 9, 5)","(2, 3, 1)","(1, 6, 4)",-1,41,23,18,6,False,1,-6,-7,0,[],0,0,0,0,0,37
"(80, 133, 51)","(71, 105, 34)","(9, 28, 17)",-2,87,44,43,2,False,-6,-173,-167,1,[-36],0,0,0,0,0,38
"(-101, -169, -66)","(-11, -14, -3)","(-90, -155, -63)",2,81,10,71,6,False,-173,36,209,0,[],0,0,0,0,0,39
"(-2, -4, -1)","(2, 3, 1)","(-4, -7, -2)",1,14,3,11,5,False,36,41,5,0,[],0,0,0,0,0,40
"(10, 18, 6)","(4, 6, 2)","(6, 12, 4)",-2,17,2,15,5,False,41,14,-27,0,[],0,0,0,0,0,41
"(-15, -25, -10)","(-23, -34, -11)","(8, 9, 1)",0,16,14,2,1,False,14,44,30,0,[],0,0,0,0,0,42
"(6, 9, 5)","(13, 19, 6)","(-7, -10, -1)",2,10,7,3,2,False,44,33,-11,0,[],0,0,0,0,0,43
"(-12, -21, -6)","(0, 0, 0)","(-12, -21, -6)",3,13,0,13,7,False,33,60,27,0,[],0,0,0,0,0,44
"(11, 19, 7)","(1, 1, 0)","(10, 18, 7)",-1,13,1,12,5,False,60,36,-24,0,[],0,0,0,0,0,45
"(22, 44, 19)","(35, 53, 18)","(-13, -9, 1)",-3,29,19,10,5,False,36,-11,-47,0,[],0,0,0,0,0,46
"(-3, -7, -6)","(1, 4, 3)","(-4, -11, -9)",-2,34,22,12,3,False,-11,-6,5,0,[],0,0,0,0,0,47
"(-17, -33, -12)","(-40, -60, -20)","(23, 27, 8)",4,33,20,13,5,False,-6,30,36,0,[],0,0,0,0,0,48
"(-3, -6, -3)","(10, 15, 5)","(-13, -21, -8)",0,15,5,10,2,False,30,36,6,0,[],0,0,0,0,0,49
"(23, 44, 21)","(36, 54, 18)","(-13, -10, 3)",0,33,28,5,2,False,36,-2,-38,0,[],0,0,0,0,0,50
"(-4, -11, -6)","(11, 17, 6)","(-15, -28, -12)",1,29,17,12,0,False,-2,1,3,0,[],0,0,0,0,0,51
"(7, 20, 10)","(-25, -38, -13)","(32, 58, 23)",-3,41,15,26,3,False,1,-18,-19,1,[-8],0,0,0,0,0,52
"(-1, -12, -8)","(36, 54, 18)","(-37, -66, -26)",3,57,18,39,7,False,-18,-10,8,0,[],0,0,0,0,0,53
"(14, 26, 10)","(-23, -34, -11)","(37, 60, 21)",-2,63,12,51,8,False,-10,-41,-31,0,[],0,0,0,0,0,54
"(-45, -78, -31)","(0, 0, 0)","(-45, -78, -31)",2,42,0,42,9,False,-41,50,91,0,[],0,0,0,0,0,55
"(-2, -3, -2)","(0, 0, 0)","(-2, -3, -2)",-1,7,0,7,5,False,50,49,-1,0,[],0,0,0,0,0,56
"(-1, -2, 1)","(0, 0, 0)","(-1, -2, 1)",2,6,0,6,5,False,49,58,9,0,[],0,0,0,0,0,57
"(3, 6, 2)","(0, 0, 0)","(3, 6, 2)",-1,7,0,7,5,False,58,50,-8,0,[],0,0,0,0,0,58
"(17, 26, 8)","(11, 17, 6)","(6, 9, 2)",-1,15,7,8,2,False,50,22,-28,0,[],0,0,0,0,0,59
"(-3, -5, 0)","(2, 3, 1)","(-5, -8, -1)",2,14,1,13,6,False,22,30,8,0,[],0,0,0,0,0,60
"(-6, -7, -1)","(-7, -11, -4)","(1, 4, 3)",0,24,9,15,6,False,30,47,17,0,[],0,0,0,0,0,61
"(4, 6, 1)","(-5, -7, -2)","(9, 13, 3)",-1,17,9,8,3,False,47,39,-8,0,[],0,0,0,0,0,62
"(3, 5, 2)","(-2, -4, -2)","(5, 9, 4)",0,19,8,11,1,False,39,37,-2,0,[],0,0,0,0,0,63
"(-1, -4, -2)","(-5, -8, -3)","(4, 4, 1)",1,23,6,17,6,False,37,44,7,0,[],0,0,0,0,0,64
"(9, 17, 8)","(22, 34, 12)","(-13, -17, -4)",0,30,14,16,8,False,44,35,-9,0,[],0,0,0,0,0,65
"(9, 17, 8)","(26, 39, 13)","(-17, -22, -5)",0,43,13,30,9,False,35,15,-20,0,[],0,0,0,0,0,66
"(-27, -49, -22)","(-38, -57, -19)","(11, 8, -3)",0,31,19,12,7,False,15,60,45,0,[],0,0,0,0,0,67
"(47, 83, 36)","(67, 101, 34)","(-20, -18, 2)",0,41,37,4,2,False,60,-27,-87,0,[],0,0,0,0,0,68
"(-37, -58, -25)","(-11, -16, -5)","(-26, -42, -20)",-4,45,10,35,5,False,-27,34,61,0,[],0,0,0,0,0,69
"(12, 14, 3)","(-9, -16, -7)","(21, 30, 10)",1,43,13,30,14,False,34,2,-32,0,[],0,0,0,0,0,70
"(-2, -4, -2)","(0, 1, 1)","(-2, -5, -3)",0,39,6,33,6,False,2,8,6,1,[-1],0,0,0,0,0,71
"(-14, -22, -7)","(-29, -43, -14)","(15, 21, 7)",1,27,18,9,2,False,8,45,37,1,[-8],0,0,0,0,0,72
"(4, 6, 1)","(10, 16, 6)","(-6, -10, -5)",-1,22,8,14,5,False,45,41,-4,0,[],0,0,0,0,0,73
"(16, 29, 14)","(3, 3, 0)","(13, 26, 14)",1,34,13,21,5,False,41,5,-36,0,[],0,0,0,0,0,74
"(3, 4, 3)","(5, 8, 3)","(-2, -4, 0)",2,24,10,14,2,False,5,9,4,0,[],0,0,0,0,0,75
"(-28, -49, -22)","(-10, -14, -4)","(-18, -35, -18)",-1,39,7,32,4,False,9,54,45,0,[],0,0,0,0,0,76
"(29, 54, 22)","(0, 0, 0)","(29, 54, 22)",-3,35,0,35,7,False,54,-5,-59,0,[],0,0,0,0,0,77
"(20, 38, 20)","(47, 70, 23)","(-27, -32, -3)",2,44,26,18,5,False,-5,-44,-39,0,[],0,0,0,0,0,78
"(-41, -75, -33)","(-40, -59, -19)","(-1, -16, -14)",1,57,23,34,4,False,-44,34,78,0,[],0,0,0,0,0,79
"(-9, -17, -8)","(1, 1, 0)","(-10, -18, -8)",0,16,1,15,7,False,34,52,18,0,[],0,0,0,0,0,80
"(18, 36, 17)","(8, 12, 4)","(10, 24, 13)",-1,34,4,30,7,False,52,18,-34,0,[],0,0,0,0,0,81
"(-8, -19, -11)","(-10, -15, -5)","(2, -4, -6)",0,26,5,21,7,False,18,50,32,0,[],0,0,0,0,0,82
