frame,kind,participants,dV,dE,dF,evidence,run
22,gap_disappearance,"{""gap"": -2, ""cells"": [6]}",,,,{},tracker
22,reseal,"{""gap"": -1, ""cells"": [4, 5], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
22,contact_death,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
22,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
23,rupture,"{""gap"": -3, ""cells"": [1, 2], ""caps"": []}",2.0,3.0,1.0,{},tracker
23,rupture,"{""gap"": -2, ""cells"": [1, 2], ""caps"": []}",2.0,3.0,1.0,{},tracker
23,gap_appearance,"{""gap"": -1, ""cells"": [1, 2, 3]}",,,,{},tracker
23,contact_death,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
23,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
23,contact_birth,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
23,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
24,entry,"{""cell"": 14, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
24,gap_disappearance,"{""gap"": -3, ""cells"": [1, 2, 3]}",,,,{},tracker
24,reseal,"{""gap"": -1, ""cells"": [1, 2], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
24,contact_death,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
24,contact_birth,"{""cells"": [3, 6]}",,,,"{""connectivity_change"": true}",tracker
24,contact_birth,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
24,contact_birth,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
24,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
25,exit,"{""cell"": 14, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
25,appearance,"{""cell"": 15, ""sides"": 2}",,,,"{""neighbours"": [0, 9]}",tracker
25,reseal,"{""gap"": -1, ""cells"": [1, 2], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
25,contact_death,"{""cells"": [3, 6]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
25,contact_death,"{""cells"": [3, 7]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
25,contact_death,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
25,contact_birth,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
26,entry,"{""cell"": 16, ""sides"": 2}",,,,"{""neighbours"": [0, 9]}",tracker
26,rupture,"{""gap"": -3, ""cells"": [4, 5], ""caps"": []}",2.0,3.0,1.0,{},tracker
26,rupture,"{""gap"": -2, ""cells"": [2, 3], ""caps"": []}",2.0,3.0,1.0,{},tracker
26,gap_appearance,"{""gap"": -1, ""cells"": [3, 6, 7]}",,,,{},tracker
26,contact_death,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
26,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
26,contact_death,"{""cells"": [9, 15]}",,,,"{""connectivity_change"": true}",tracker
26,contact_birth,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
26,contact_birth,"{""cells"": [3, 6]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
26,contact_birth,"{""cells"": [3, 7]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
27,exit,"{""cell"": 15, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
27,gap_disappearance,"{""gap"": -3, ""cells"": [3, 6, 7]}",,,,{},tracker
27,gap_disappearance,"{""gap"": -2, ""cells"": [2, 3]}",,,,{},tracker
27,gap_disappearance,"{""gap"": -1, ""cells"": [4, 5]}",,,,{},tracker
27,contact_death,"{""cells"": [1, 2]}",,,,"{""connectivity_change"": true}",tracker
27,contact_death,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
27,contact_death,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
27,contact_death,"{""cells"": [3, 6]}",,,,"{""connectivity_change"": true}",tracker
27,contact_death,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
27,contact_death,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
27,contact_death,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
27,contact_death,"{""cells"": [9, 16]}",,,,"{""connectivity_change"": true}",tracker
28,exit,"{""cell"": 16, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
28,entry,"{""cell"": 17, ""sides"": 2}",,,,"{""neighbours"": [0, 9]}",tracker
28,gap_appearance,"{""gap"": -3, ""cells"": [1, 3]}",,,,{},tracker
28,gap_appearance,"{""gap"": -2, ""cells"": [1, 2]}",,,,{},tracker
28,gap_appearance,"{""gap"": -1, ""cells"": [1, 2, 3]}",,,,{},tracker
28,contact_birth,"{""cells"": [1, 2]}",,,,"{""connectivity_change"": true}",tracker
28,contact_birth,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
28,contact_birth,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
28,contact_birth,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
28,contact_birth,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
28,contact_birth,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
28,contact_birth,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
29,gap_disappearance,"{""gap"": -3, ""cells"": [1, 2, 3]}",,,,{},tracker
29,reseal,"{""gap"": -2, ""cells"": [1, 2], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
29,gap_disappearance,"{""gap"": -1, ""cells"": [1, 3]}",,,,{},tracker
29,contact_death,"{""cells"": [1, 3]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
29,contact_death,"{""cells"": [5, 6]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
29,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
30,rupture,"{""gap"": -2, ""cells"": [6, 7], ""caps"": []}",2.0,3.0,1.0,{},tracker
30,rupture,"{""gap"": -1, ""cells"": [6, 7], ""caps"": []}",2.0,3.0,1.0,{},tracker
30,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
31,entry,"{""cell"": 18, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
31,reseal,"{""gap"": -1, ""cells"": [6, 7], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
31,contact_death,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
31,contact_death,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
31,contact_death,"{""cells"": [9, 17]}",,,,"{""connectivity_change"": true}",tracker
32,exit,"{""cell"": 18, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
32,reseal,"{""gap"": -1, ""cells"": [6, 7], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
32,contact_birth,"{""cells"": [3, 6]}",,,,"{""connectivity_change"": true}",tracker
32,contact_birth,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
32,contact_birth,"{""cells"": [9, 17]}",,,,"{""connectivity_change"": true}",tracker
33,contact_death,"{""cells"": [1, 2]}",,,,"{""connectivity_change"": true}",tracker
33,contact_death,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
33,contact_death,"{""cells"": [3, 6]}",,,,"{""connectivity_change"": true}",tracker
33,contact_death,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
33,contact_death,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
33,contact_death,"{""cells"": [9, 17]}",,,,"{""connectivity_change"": true}",tracker
33,contact_birth,"{""cells"": [4, 6]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
34,gap_appearance,"{""gap"": -2, ""cells"": [9, 17]}",,,,{},tracker
34,gap_appearance,"{""gap"": -1, ""cells"": [3, 4]}",,,,{},tracker
34,contact_death,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
34,contact_birth,"{""cells"": [1, 2]}",,,,"{""connectivity_change"": true}",tracker
34,contact_birth,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
34,contact_birth,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
34,contact_birth,"{""cells"": [9, 17]}",,,,"{""connectivity_change"": true}",tracker
35,reseal,"{""gap"": -2, ""cells"": [3, 4], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
35,reseal,"{""gap"": -1, ""cells"": [9, 17], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
35,contact_death,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
35,contact_birth,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
35,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
36,rupture,"{""gap"": -1, ""cells"": [9, 17], ""caps"": []}",2.0,3.0,1.0,{},tracker
36,contact_death,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
36,contact_death,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
36,contact_death,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
36,contact_death,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
36,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
37,entry,"{""cell"": 19, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
37,rupture,"{""gap"": -6, ""cells"": [1, 2], ""caps"": []}",2.0,3.0,1.0,{},tracker
37,gap_appearance,"{""gap"": -5, ""cells"": [3, 4]}",,,,{},tracker
37,gap_appearance,"{""gap"": -4, ""cells"": [3, 4]}",,,,{},tracker
37,gap_appearance,"{""gap"": -3, ""cells"": [3, 4, 6, 7]}",,,,{},tracker
37,gap_appearance,"{""gap"": -2, ""cells"": [6, 7]}",,,,{},tracker
37,contact_birth,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
37,contact_birth,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
37,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
37,contact_birth,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
37,contact_birth,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
37,contact_birth,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
37,contact_birth,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
37,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
38,exit,"{""cell"": 19, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
38,gap_disappearance,"{""gap"": -6, ""cells"": [6, 7]}",,,,{},tracker
38,gap_disappearance,"{""gap"": -5, ""cells"": [3, 4, 6, 7]}",,,,{},tracker
38,gap_disappearance,"{""gap"": -4, ""cells"": [3, 4]}",,,,{},tracker
38,gap_disappearance,"{""gap"": -3, ""cells"": [3, 4]}",,,,{},tracker
38,gap_disappearance,"{""gap"": -2, ""cells"": [1, 2]}",,,,{},tracker
38,reseal,"{""gap"": -1, ""cells"": [9, 17], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
38,contact_death,"{""cells"": [1, 2]}",,,,"{""connectivity_change"": true}",tracker
38,contact_death,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
38,contact_death,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
38,contact_death,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
38,contact_death,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
38,contact_death,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
38,contact_death,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
38,contact_death,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
38,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
39,contact_birth,"{""cells"": [1, 2]}",,,,"{""connectivity_change"": true}",tracker
39,contact_birth,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
39,contact_birth,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
39,contact_birth,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
40,rupture,"{""gap"": -1, ""cells"": [4, 5], ""caps"": []}",2.0,3.0,1.0,{},tracker
40,contact_death,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
40,contact_death,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
40,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
40,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
41,rupture,"{""gap"": -2, ""cells"": [1, 2], ""caps"": []}",2.0,3.0,1.0,{},tracker
41,reseal,"{""gap"": -1, ""cells"": [4, 5], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
41,contact_death,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
41,contact_death,"{""cells"": [9, 17]}",,,,"{""connectivity_change"": true}",tracker
41,contact_birth,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
41,contact_birth,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
42,rupture,"{""gap"": -4, ""cells"": [4, 5], ""caps"": []}",2.0,3.0,1.0,{},tracker
42,gap_appearance,"{""gap"": -3, ""cells"": [3, 4]}",,,,{},tracker
42,gap_appearance,"{""gap"": -2, ""cells"": [3, 7]}",,,,{},tracker
42,reseal,"{""gap"": -1, ""cells"": [1, 2], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
42,contact_death,"{""cells"": [6, 7]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
42,contact_birth,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
42,contact_birth,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
42,contact_birth,"{""cells"": [9, 17]}",,,,"{""connectivity_change"": true}",tracker
43,entry,"{""cell"": 20, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
43,rupture,"{""gap"": -4, ""cells"": [1, 2], ""caps"": []}",2.0,3.0,1.0,{},tracker
43,reseal,"{""gap"": -3, ""cells"": [3, 7], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
43,gap_disappearance,"{""gap"": -2, ""cells"": [3, 4]}",,,,{},tracker
43,gap_disappearance,"{""gap"": -1, ""cells"": [4, 5]}",,,,{},tracker
43,contact_death,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
43,contact_death,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
43,contact_death,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
43,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
44,exit,"{""cell"": 20, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
44,reseal,"{""gap"": -1, ""cells"": [1, 2], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
44,contact_death,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
44,contact_birth,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
44,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
44,contact_birth,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
45,division,"{""parent"": 3, ""children"": [3, 21]}",2.0,3.0,1.0,"{""source"": ""heuristic_asymmetric""}",tracker
45,contact_death,"{""cells"": [5, 6]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
45,contact_birth,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
46,entry,"{""cell"": 22, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
46,gap_appearance,"{""gap"": -1, ""cells"": [3, 4, 5, 6, 7, 21]}",,,,{},tracker
46,contact_death,"{""cells"": [3, 6]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
46,contact_death,"{""cells"": [9, 17]}",,,,"{""connectivity_change"": true}",tracker
46,contact_birth,"{""cells"": [5, 6]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
46,contact_birth,"{""cells"": [6, 7]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
47,gap_appearance,"{""gap"": -5, ""cells"": [5]}",,,,{},tracker
47,rupture,"{""gap"": -4, ""cells"": [3, 7], ""caps"": []}",2.0,3.0,1.0,{},tracker
