observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(-92, -163, -69)","(-143, -215, -72)","(51, 52, 3)",2,83,73,10,7,False,-177,10,187,0,[],0,0,0,0,0,14
"(-12, -19, -6)","(1, 1, 0)","(-13, -20, -6)",1,16,1,15,9,False,10,36,26,0,[],0,0,0,0,0,15
"(-3, -3, -1)","(0, 0, 0)","(-3, -3, -1)",-1,4,0,4,3,False,36,39,3,0,[],0,0,0,0,0,16
"(4, 7, 1)","(0, 0, 0)","(4, 7, 1)",-2,3,0,3,2,False,39,29,-10,0,[],0,0,0,0,0,17
"(2, 3, 3)","(0, 0, 0)","(2, 3, 3)",2,7,0,7,2,False,29,27,-2,0,[],0,0,0,0,0,18
"(7, 11, 0)","(2, 3, 1)","(5, 8, -1)",-4,8,1,7,6,False,27,9,-18,0,[],0,0,0,0,0,19
"(2, 7, 6)","(9, 13, 4)","(-7, -6, 2)",1,19,5,14,4,False,9,7,-2,0,[],0,0,0,0,0,20
"(22, 33, 13)","(42, 63, 21)","(-20, -30, -8)",2,38,21,17,5,False,7,-36,-43,0,[],0,0,0,0,0,21
"(-34, -56, -23)","(-44, -66, -22)","(10, 10, -1)",-1,25,22,3,2,False,-36,32,68,0,[],0,0,0,0,0,22
"(9, 20, 11)","(18, 27, 9)","(-9, -7, 2)",0,14,9,5,3,False,32,13,-19,0,[],0,0,0,0,0,23
"(-5, -14, -9)","(-16, -24, -8)","(11, 10, -1)",0,15,8,7,4,False,13,28,15,0,[],0,0,0,0,0,24
"(2, 6, 3)","(-2, -2, 0)","(4, 8, 3)",-1,11,4,7,2,False,28,24,-4,0,[],0,0,0,0,0,25
"(61, 107, 47)","(70, 104, 34)","(-9, 3, 13)",1,53,36,17,4,False,24,-90,-114,0,[],0,0,0,0,0,26
"(-69, -126, -51)","(0, 0, 0)","(-69, -126, -51)",6,59,0,59,8,False,-90,50,140,0,[],0,0,0,0,0,27
"(25, 44, 14)","(0, 0, 0)","(25, 44, 14)",-5,23,0,23,7,False,50,-9,-59,0,[],0,0,0,0,0,28
"(17, 32, 13)","(31, 48, 17)","(-14, -16, -4)",-2,41,36,5,1,False,-9,-44,-35,0,[],0,0,0,0,0,29
"(-23, -37, -15)","(-36, -54, -18)","(13, 17, 3)",-1,22,18,4,1,False,-44,2,46,0,[],0,0,0,0,0,30
"(-7, -15, -4)","(-10, -15, -5)","(3, 0, 1)",4,9,5,4,3,False,2,25,23,0,[],0,0,0,0,0,31
"(22, 37, 11)","(24, 36, 12)","(-2, 1, -1)",-4,16,12,4,3,False,25,-28,-53,0,[],0,0,0,0,0,32
"(-26, -45, -14)","(0, 0, 0)","(-26, -45, -14)",5,28,2,26,6,False,-28,30,58,0,[],0,0,0,0,0,33
"(6, 14, 6)","(2, 3, 1)","(4, 11, 5)",-2,20,5,15,4,False,30,13,-17,0,[],0,0,0,0,0,34
"(-6, -14, -6)","(-16, -24, -8)","(10, 10, 2)",2,15,8,7,3,False,13,27,14,0,[],0,0,0,0,0,35
"(4, 7, 4)","(14, 21, 7)","(-10, -14, -3)",1,15,7,8,5,False,27,22,-5,0,[],0,0,0,0,0,36
"(143, 242, 95)","(110, 165, 55)","(33, 77, 40)",-4,103,55,48,8,False,22,-265,-287,0,[],0,0,0,0,0,37
"(-155, -264, -104)","(-36, -54, -18)","(-119, -210, -86)",5,113,18,95,9,False,-265,48,313,0,[],0,0,0,0,0,38
"(26, 49, 19)","(0, 0, 0)","(26, 49, 19)",-4,23,0,23,4,False,48,-10,-58,0,[],0,0,0,0,0,39
"(-16, -29, -12)","(-24, -36, -12)","(8, 7, 0)",1,18,12,6,4,False,-10,22,32,0,[],0,0,0,0,0,40
"(84, 141, 56)","(48, 72, 24)","(36, 69, 32)",-1,61,24,37,5,False,22,-145,-167,0,[],0,0,0,0,0,41
"(-62, -104, -44)","(-61, -91, -30)","(-1, -13, -14)",-2,74,45,29,3,False,-145,-24,121,0,[],0,0,0,0,0,42
"(-18, -29, -6)","(20, 30, 10)","(-38, -59, -16)",5,36,14,22,4,False,-24,23,47,0,[],0,0,0,0,0,43
"(-3, -8, -7)","(-12, -18, -6)","(9, 10, -1)",-2,12,6,6,5,False,23,21,-2,0,[],0,0,0,0,0,44
"(20, 37, 14)","(-7, -10, -3)","(27, 47, 17)",-3,30,8,22,3,False,21,-16,-37,0,[],0,0,0,0,0,45
"(2, -1, 2)","(-7, -10, -3)","(9, 9, 5)",5,39,30,9,4,False,-16,-8,8,0,[],0,0,0,0,0,46
"(0, 1, -1)","(11, 16, 5)","(-11, -15, -6)",-2,27,12,15,5,False,-8,-11,-3,0,[],0,0,0,0,0,47
"(-15, -29, -12)","(-7, -11, -4)","(-8, -18, -8)",2,21,7,14,4,False,-11,21,32,0,[],0,0,0,0,0,48
"(18, 39, 17)","(-2, -2, 0)","(20, 41, 17)",-4,40,6,34,9,False,21,-13,-34,0,[],0,0,0,0,0,49
"(-21, -37, -17)","(-25, -37, -12)","(4, 0, -5)",-1,22,17,5,0,False,-13,22,35,0,[],0,0,0,0,0,50
"(13, 20, 11)","(10, 15, 5)","(3, 5, 6)",4,30,7,23,3,False,22,5,-17,0,[],0,0,0,0,0,51
"(-21, -37, -15)","(-16, -24, -8)","(-5, -13, -7)",1,17,8,9,2,False,5,49,44,0,[],0,0,0,0,0,52
"(44, 73, 26)","(31, 47, 16)","(13, 26, 10)",-3,40,19,21,5,False,49,-35,-84,0,[],0,0,0,0,0,53
"(-4, 0, 2)","(-8, -13, -5)","(4, 13, 7)",-2,57,37,20,3,False,-35,-36,-1,0,[],0,0,0,0,0,54
"(-23, -45, -19)","(-14, -21, -7)","(-9, -24, -12)",3,35,15,20,6,False,-36,17,53,0,[],0,0,0,0,0,55
"(-18, -31, -11)","(-14, -21, -7)","(-4, -10, -4)",2,18,7,11,7,False,17,52,35,0,[],0,0,0,0,0,56
"(5, 9, 5)","(0, 0, 0)","(5, 9, 5)",1,11,0,11,6,False,52,40,-12,0,[],0,0,0,0,0,57
"(-4, -4, -4)","(0, 0, 0)","(-4, -4, -4)",-4,14,0,14,10,False,40,43,3,0,[],0,0,0,0,0,58
"(47, 81, 35)","(20, 30, 10)","(27, 51, 25)",1,46,15,31,4,False,43,-36,-79,0,[],0,0,0,0,0,59
"(112, 208, 96)","(120, 179, 59)","(-8, 29, 37)",0,154,105,49,6,False,-36,-260,-224,0,[],0,0,0,0,0,60
"(-146, -269, -123)","(-208, -312, -104)","(62, 43, -19)",0,137,106,31,8,False,-260,27,287,0,[],0,0,0,0,0,61
"(21, 39, 21)","(32, 48, 16)","(-11, -9, 5)",3,44,16,28,11,False,27,-6,-33,0,[],0,0,0,0,0,62
"(-19, -34, -18)","(-40, -60, -20)","(21, 26, 2)",-3,35,20,15,7,False,-6,28,34,0,[],0,0,0,0,0,63
"(10, 15, 5)","(8, 12, 4)","(2, 3, 1)",0,17,4,13,4,False,28,10,-18,0,[],0,0,0,0,0,64
"(18, 31, 14)","(9, 14, 5)","(9, 17, 9)",1,33,7,26,5,False,10,-26,-36,1,[-12],0,0,0,0,0,65
"(31, 60, 27)","(-5, -7, -2)","(36, 67, 29)",-2,65,11,54,5,False,-26,-96,-70,0,[],0,0,0,0,0,66
"(-60, -108, -43)","(-1, -2, -1)","(-59, -106, -42)",5,66,2,64,6,False,-96,34,130,0,[],0,0,0,0,0,67
"(8, 13, -2)","(-13, -19, -6)","(21, 32, 4)",-7,27,15,12,4,False,34,19,-15,0,[],0,0,0,0,0,68
"(-14, -24, -6)","(-4, -7, -3)","(-10, -17, -3)",4,20,7,13,4,False,19,41,22,0,[],0,0,0,0,0,69
"(48, 90, 41)","(7, 10, 3)","(41, 80, 38)",-1,53,14,39,1,False,41,-54,-95,0,[],0,0,0,0,0,70
"(-11, -27, -13)","(-64, -96, -32)","(53, 69, 19)",3,72,34,38,7,False,-54,-29,25,0,[],0,0,0,0,0,71
"(7, 18, 11)","(11, 16, 5)","(-4, 2, 6)",0,30,12,18,6,False,-29,-43,-14,0,[],0,0,0,0,0,72
"(-18, -37, -22)","(-41, -61, -20)","(23, 24, -2)",-3,52,25,27,7,False,-43,-16,27,0,[],0,0,0,0,0,73
"(13, 26, 12)","(30, 45, 15)","(-17, -19, -3)",-1,49,43,6,3,False,-16,-43,-27,0,[],0,0,0,0,0,74
"(-24, -44, -18)","(17, 26, 9)","(-41, -70, -27)",2,52,16,36,5,False,-43,8,51,0,[],0,0,0,0,0,75
"(-12, -17, -5)","(2, 3, 1)","(-14, -20, -6)",0,13,3,10,4,False,8,26,18,0,[],0,0,0,0,0,76
"(3, 1, -1)","(5, 7, 2)","(-2, -6, -3)",1,23,3,20,1,False,26,32,6,0,[],0,0,0,0,0,77
"(-2, -6, -4)","(-1, -2, -1)","(-1, -4, -3)",0,14,6,8,5,False,32,36,4,0,[],0,0,0,0,0,78
"(4, 7, 4)","(-5, -7, -2)","(9, 14, 6)",1,23,5,18,6,False,36,33,-3,0,[],0,0,0,0,0,79
"(-6, -10, -3)","(-10, -15, -5)","(4, 5, 2)",1,23,7,16,8,False,33,53,20,0,[],0,0,0,0,0,80
"(20, 38, 15)","(36, 54, 18)","(-16, -16, -3)",-3,34,20,14,9,False,53,12,-41,0,[],0,0,0,0,0,81
"(-19, -35, -12)","(2, 2, 0)","(-21, -37, -12)",4,30,2,28,6,False,12,51,39,0,[],0,0,0,0,0,82
